source_invoice_id,document_number,entry_date,supplier,items_mov_count,items_fiscal_count,volume_lt_mov,volume_lt_fiscal,total_mov,total_fiscal,movement_only,fiscal_only,both_sources,neither_source
2001851,50881,2026-04-13,25732,1,1,5000.0,5000.0,30675.2305,30675.2300,False,False,True,False
2001853,50882,2026-04-13,25732,1,1,5000.0,5000.0,34366.5000,34366.5000,False,False,True,False
2001854,50883,2026-04-13,25732,1,1,10000.0,10000.0,41018.4180,41018.4200,False,False,True,False
2001855,50884,2026-04-13,25732,1,1,5000.0,5000.0,21162.0000,21162.0000,False,False,True,False
2004540,169757,2026-04-13,305,0,2,0,0,0,31.6800,False,True,False,False
2004562,169622,2026-04-13,305,0,1,0,0,0,26.6300,False,True,False,False
2004561,169785,2026-04-14,305,0,1,0,0,0,27.2700,False,True,False,False
2004463,51146,2026-04-17,25732,1,1,5000.0,5000.0,20308.2988,20308.3000,False,False,True,False
2004464,51145,2026-04-17,25732,1,1,10000.0,10000.0,68230.9609,68230.9600,False,False,True,False
2004465,51144,2026-04-17,25732,1,1,5000.0,5000.0,31545.5508,31545.5500,False,False,True,False
2004466,51143,2026-04-17,25732,1,1,5000.0,5000.0,30675.1797,30675.1800,False,False,True,False
2005331,170393,2026-04-18,305,0,1,0,0,0,11.4100,False,True,False,False
2005458,51353,2026-04-21,25732,1,1,5000.0,5000.0,19555.0801,19555.0800,False,False,True,False
2005459,51352,2026-04-21,25732,1,1,10000.0,10000.0,65820.5625,65820.5600,False,False,True,False
2005460,51351,2026-04-21,25732,1,1,5000.0,5000.0,31076.9004,31076.9000,False,False,True,False
2005462,51344,2026-04-21,25732,1,1,5000.0,5000.0,20207.8691,20207.8700,False,False,True,False
2005463,51343,2026-04-21,25732,1,1,5000.0,5000.0,19555.0801,19555.0800,False,False,True,False
2005464,51342,2026-04-21,25732,1,1,5000.0,5000.0,32910.2813,32910.2800,False,False,True,False
2014118,48019,2026-04-28,19327,0,1,0,0,0,375.7500,False,True,False,False
2014515,171510,2026-04-29,305,0,2,0,0,0,21.2400,False,True,False,False
2014522,171409,2026-04-29,305,0,9,0,0,0,932.0900,False,True,False,False
2014648,51855,2026-04-29,25732,1,1,10000.0,10000.0,37232.1406,37232.1400,False,False,True,False
2014649,51854,2026-04-29,25732,1,1,10000.0,10000.0,64314.3320,64314.3300,False,False,True,False
2014650,51853,2026-04-29,25732,1,1,5000.0,5000.0,31528.7813,31528.7800,False,False,True,False
2014519,171536,2026-04-30,305,0,2,0,0,0,22.4300,False,True,False,False
2013554,151256,2026-05-01,19465,1,1,0,0,208.2650,276.5000,False,False,True,False
2014652,52058,2026-05-01,25732,1,1,5000.0,5000.0,18289.6797,18289.6800,False,False,True,False
2014653,52057,2026-05-01,25732,1,1,10000.0,10000.0,64314.2305,64314.2300,False,False,True,False
2014654,52056,2026-05-01,25732,1,1,5000.0,5000.0,31545.5000,31545.5000,False,False,True,False
2014655,52055,2026-05-01,25732,1,1,5000.0,5000.0,30675.1309,30675.1300,False,False,True,False
